journey_id;user_id;driver_id;start_lat;start_lon;end_lat;end_lon;driver_start_lat;driver_start_lon;distance;duration
23a1406fc6a11d866e3c82f22eed4d4c;0e9af5bbf1edfe591b54ecdfd7e91e26;583949a89a9ee17d19e3ca4f137b6b4c;-1,213,983,536;-7,702,355,957;-1,205,537,033;-770,413,208;-1,210,825,481;-770,272,739;11331;234
85b7eabcf5d84e42dc7629b7d27781af;56772d544fdfa589a020a1ff894a86f7;d665fb9f75ef5d9cd0fd89479380ba78;-1,208,995,438;-7,692,626,953;-1,202,223,206;-7,710,638,428;-1,208,311,558;-769,277,072;30270;715
2254715f0f569e3173ec61f16cbb8341;56772d544fdfa589a020a1ff894a86f7;baacf396f773709519bbde35a5eab861;-1,202,241,898;-7,710,650,635;-1,208,980,179;-7,692,608,643;-1,201,706,754;-7,705,986,526;29080;1201
12432d83b49393bf25164673212b8295;56772d544fdfa589a020a1ff894a86f7;e1332f68e81526e498e4d845233a6d7d;-1,208,995,819;-769,262,085;-1,202,152,252;-7,710,623,169;-1,208,509,125;-7,696,944,424;27230;0
2e51db3a8a77aa594aa686ff19fe6036;56772d544fdfa589a020a1ff894a86f7;d665fb9f75ef5d9cd0fd89479380ba78;-1,211,347,198;-7,704,385,376;-1,209,108,734;-7,692,266,846;-1,210,828,994;-7,703,530,221;17247;232
0234eb5f7e99d581c72052f0a868289c;0234eb5f7e99d581c72052f0a869293a;d04f1a596fe4a582f48e6eb2f9e8f617;-1,211,068,311;-7,700,212,106;-1,207,299,558;-7,709,785,346;-1,212,584,246;-7,703,298,835;14380;94
9448070ece760ea5386e5d4822121a6c;dd23cf0ef33ae44e0c0b4c756e1fe4e8;406921adcca37705ef527b4246c0cfea;-1,208,969,627;-7,703,574,926;-1,203,449,872;-7,703,020,982;-120,898,203;-770,358,663;8064;676
297c055e30be8d9a933868c94980a7df;7abecd4f47c2c1d5390d86eb22181c90;d04f1a596fe4a582f48e6eb2f9e8f617;-1,210,142,941;-7,700,434,059;-1,212,008,105;-7,699,520,499;-1,208,874,061;-770,063,344;2713;368
af7a0d5b65562d9e4f7749317efb1a3a;7abecd4f47c2c1d5390d86eb22181c90;d04f1a596fe4a582f48e6eb2f9e8f617;-1,210,128,779;-7,700,463,697;-1,210,112,256;-7,700,418,301;-121,011,259;-770,041,831;3431;416
ea91d2d997d84fbfddbd2657db7bec90;39ec1ffa2e126b1691f97fef3e369d04;633dbc6b4e8edc3bf01b07b01ab543fe;-1,211,995,681;-7,701,533,832;-1,212,481,809;-7,703,361,522;-1,210,551,257;-7,701,781,845;2445;133
